"date","share","like","emo","comment","brand"
"2016-12-14",181,9514,752,153,"A"
"2016-12-04",68,1264,101,90,"A"
"2016-12-01",239,3265,825,11076,"A"
"2016-11-29",28,1167,42,68,"A"
"2016-11-27",166,2370,217,110,"A"
"2016-11-16",24,1049,45,34,"A"
"2016-11-09",51,2790,102,63,"A"
"2016-11-04",185,8259,475,138,"A"
"2016-11-04",198,2331,213,105,"A"
"2015-12-29",142,7376,43,101,"A"
"2015-12-28",31,931,5,61,"A"
"2015-12-27",337,5120,54,219,"A"
"2015-12-22",144,2251,30,107,"A"
"2015-12-22",125,2487,23,74,"A"
"2015-12-22",199,2284,15,112,"A"
"2015-12-18",21,631,0,56,"A"
"2015-12-17",162,2055,17,88,"A"
"2015-12-17",26,388,2,10,"A"
"2015-12-17",8,272,0,2,"A"
"2015-12-17",20,631,0,27,"A"
"2015-12-16",19,2646,6,31,"A"
"2015-12-16",69,1016,1,46,"A"
"2015-12-15",292,3549,35,147,"A"
"2015-12-12",125,1975,14,89,"A"
"2015-12-12",130,736,4,30,"A"
"2015-12-12",121,1544,17,40,"A"
"2015-12-12",22,1294,0,11,"A"
"2015-12-11",578,14100,305,196,"A"
"2015-12-11",42,1487,2,20,"A"
"2015-12-11",29,1626,2,11,"A"
"2014-12-31",28,2664,0,10,"A"
"2014-12-31",144,11405,2,50,"A"
"2014-12-31",59,5348,0,18,"A"
"2014-12-30",403,19258,2,114,"A"
"2014-12-30",314,14672,0,68,"A"
"2014-12-29",76,6264,0,39,"A"
"2014-12-28",72,5349,0,27,"A"
"2014-12-28",222,11619,0,77,"A"
"2014-12-26",338,16042,3,88,"A"
"2014-12-26",54,4181,0,14,"A"
"2014-12-26",219,11508,0,56,"A"
"2014-12-25",171,9197,0,63,"A"
"2014-12-24",461,16106,0,121,"A"
"2014-12-24",37,2443,0,7,"A"
"2014-12-23",124,6476,1,25,"A"
"2014-12-23",172,9722,0,40,"A"
"2014-12-23",1238,18505,1,341,"A"
"2014-12-22",132,8426,3,68,"A"
"2014-12-22",85,7585,1,23,"A"
"2014-12-22",43,1418,0,10,"A"
