"date","share","like","emo","comment","brand"
"2016-12-15",9,1408,41,12,"A"
"2016-12-14",16,1541,59,20,"A"
"2016-12-11",44,1661,69,24,"A"
"2016-12-06",22,1745,73,34,"A"
"2016-12-04",41,2110,72,45,"A"
"2016-12-03",6,1278,31,19,"A"
"2016-12-02",36,2581,86,55,"A"
"2016-11-30",14,1548,51,24,"A"
"2016-11-27",32,2632,108,38,"A"
"2016-11-26",6,1040,28,23,"A"
"2016-11-25",32,2241,101,41,"A"
"2016-11-24",217,2076,116,164,"A"
"2016-11-22",55,2405,84,48,"A"
"2016-11-22",11,643,20,15,"A"
"2016-11-21",116,3541,216,71,"A"
"2016-11-21",19,772,24,13,"A"
"2016-11-19",12,730,27,16,"A"
"2016-11-18",8,602,14,16,"A"
"2016-11-18",7,452,13,9,"A"
"2016-11-17",16,608,22,9,"A"
"2016-11-17",9030,37648,4604,1191,"A"
"2016-11-06",42,1507,66,43,"A"
"2016-11-05",41,1691,70,31,"A"
"2016-11-04",415,8089,635,202,"A"
"2016-11-04",1389,2797,270,164,"A"
"2016-11-03",48,752,41,16,"A"
"2016-11-02",26,520,22,14,"A"
"2016-11-01",32,568,23,13,"A"
"2016-10-31",105,2653,226,114,"A"
"2016-10-29",63,1376,99,25,"A"
"2016-10-28",9,797,27,14,"A"
"2016-10-25",53,1175,41,27,"A"
"2016-10-23",47,924,40,15,"A"
"2016-10-22",20,968,30,18,"A"
"2016-10-21",59,1124,54,25,"A"
"2016-10-20",13,932,35,16,"A"
"2016-10-18",5,914,43,15,"A"
"2016-10-17",16,945,34,16,"A"
"2016-10-17",14,1479,61,19,"A"
"2016-10-17",58,3419,125,37,"A"
"2016-10-17",17418,65893,10067,1975,"A"
"2016-10-16",59,1283,59,21,"A"
"2016-10-14",18,971,22,18,"A"
"2016-10-10",28,1258,36,23,"A"
"2016-10-09",45,982,35,22,"A"
"2016-10-07",55,808,40,12,"A"
"2016-10-04",39,616,22,20,"A"
"2016-09-30",16,598,18,9,"A"
"2016-09-29",8,573,12,7,"A"
"2016-09-22",23,581,23,24,"A"
"2016-09-21",871,3773,407,212,"A"
"2016-09-21",12,516,16,7,"A"
"2016-09-17",23,700,30,20,"A"
"2016-09-16",23,560,16,10,"A"
"2016-09-14",274,3032,430,1067,"A"
"2016-09-13",23,583,20,12,"A"
"2016-09-12",25,596,21,17,"A"
"2016-09-10",229,1741,89,47,"A"
"2016-09-10",126,4833,278,113,"A"
"2016-09-09",30,3342,121,30,"A"
"2016-09-09",167,13462,550,56,"A"
"2016-09-09",8,434,19,8,"A"
"2016-09-09",6,396,13,4,"A"
"2016-09-09",62,717,20,12,"A"
"2016-09-08",32,550,24,10,"A"
"2016-09-04",59,968,44,44,"A"
"2016-09-03",27,495,14,10,"A"
"2016-09-02",81,732,30,15,"A"
"2016-09-01",66,894,40,19,"A"
"2016-08-31",28,705,21,23,"A"
"2016-08-30",40,622,25,25,"A"
"2016-08-29",30,469,14,14,"A"
"2016-08-19",18,782,32,53,"A"
"2016-08-19",14,847,18,30,"A"
"2016-08-17",25,746,32,23,"A"
"2016-08-16",14,416,15,15,"A"
"2016-08-16",33,449,32,41,"A"
"2016-08-16",23,393,19,1,"A"
"2016-08-15",13,341,10,5,"A"
"2016-08-15",35,734,32,10,"A"
"2016-08-14",10,475,22,4,"A"
"2016-08-13",8,376,22,11,"A"
"2016-08-13",8,361,9,2,"A"
"2016-08-13",18,348,12,7,"A"
"2016-08-12",10,334,16,4,"A"
"2016-08-12",11,343,12,3,"A"
"2016-08-12",14,296,14,5,"A"
"2016-08-12",8,268,12,3,"A"
"2016-08-11",5,295,17,2,"A"
"2016-08-11",4,273,10,5,"A"
"2016-08-11",7,275,11,4,"A"
"2016-08-11",3,284,11,6,"A"
"2016-08-09",11,400,17,11,"A"
"2016-08-08",791,3692,232,647,"A"
"2016-08-07",7,414,15,11,"A"
"2016-08-07",6,324,11,5,"A"
"2016-08-06",7,348,18,5,"A"
"2016-08-06",8,338,19,3,"A"
"2016-08-06",7,326,20,1,"A"
"2016-08-06",12,331,20,4,"A"
"2016-08-06",13,294,22,3,"A"
"2016-08-06",6,270,15,3,"A"
"2016-08-05",7,644,24,9,"A"
"2016-07-22",322,1078,62,108,"A"
"2016-07-22",13,601,15,31,"A"
"2016-07-22",54,405,31,22,"A"
"2016-07-21",16,604,21,18,"A"
"2016-07-19",20,559,23,16,"A"
"2016-07-18",7,419,16,8,"A"
"2016-07-18",41,294,15,17,"A"
"2016-07-14",504,1356,80,114,"A"
"2016-07-14",253,616,54,35,"A"
