"date","share","like","emo","comment","brand"
"2016-12-13",9,68,5,4,"N"
"2016-09-01",99,5787,249,213,"N"
"2016-08-05",0,442,26,11,"N"
"2015-11-18",50,457,0,14,"N"
"2015-11-13",35,377,0,14,"N"
"2015-11-11",35,395,0,13,"N"
"2015-11-09",28,246,0,8,"N"
"2015-11-07",20,211,0,6,"N"
"2015-11-05",10,148,0,4,"N"
"2015-11-05",17,290,0,10,"N"
"2014-12-31",24,1083,0,21,"N"
"2014-12-23",95,2832,1,44,"N"
"2014-12-23",134,3841,1,42,"N"
"2014-12-18",91,2141,0,44,"N"
"2014-12-18",10,833,0,19,"N"
"2014-12-16",100,2509,0,45,"N"
"2014-12-14",69,2096,1,44,"N"
"2014-12-09",69,2297,0,36,"N"
"2014-12-06",88,2790,0,31,"N"
"2014-12-02",149,3272,1,71,"N"
"2014-11-26",124,1097,5,50,"N"
"2014-11-25",9,49,0,2,"N"
"2014-11-22",88,2805,1,22,"N"
"2014-11-20",9,35,0,3,"N"
"2014-11-15",96,2201,0,40,"N"
"2014-11-14",32,994,0,12,"N"
"2014-11-12",165,2931,0,39,"N"
"2014-11-11",147,2740,0,35,"N"
"2014-11-08",150,3617,1,56,"N"
"2014-11-06",15,781,0,13,"N"
"2014-11-05",11,38,0,0,"N"
"2014-11-04",38,757,1,21,"N"
"2014-11-01",82,2581,0,30,"N"
"2014-10-28",64,2614,3,32,"N"
"2014-10-27",175,3998,2,81,"N"
"2014-10-27",21,651,1,13,"N"
"2014-10-24",42,54,0,6,"N"
"2014-10-23",51,486,0,19,"N"
"2014-10-21",106,3333,0,38,"N"
"2014-10-16",17,76,0,0,"N"
"2014-10-15",98,2989,0,40,"N"
"2014-10-08",137,2513,0,63,"N"
"2014-10-05",31,1306,1,20,"N"
"2014-10-03",213,334,0,12,"N"
"2014-10-02",159,868,0,32,"N"
"2014-10-01",138,2770,0,42,"N"
"2014-09-29",141,3327,0,68,"N"
"2014-09-27",195,4662,4,70,"N"
"2014-09-26",22,62,0,2,"N"
"2014-09-25",62,1762,0,44,"N"
"2014-09-23",7,723,0,6,"N"
"2014-09-19",117,2079,0,23,"N"
"2014-09-17",183,4269,5,122,"N"
"2014-09-16",6,443,0,7,"N"
"2014-09-13",101,2512,0,26,"N"
"2014-09-11",119,2264,5,38,"N"
"2014-09-09",58,2493,0,31,"N"
"2014-09-07",26,48,0,2,"N"
"2014-09-05",161,4026,0,42,"N"
"2014-09-04",11,50,0,2,"N"
"2014-08-30",188,4423,0,80,"N"
"2014-08-27",19,41,0,0,"N"
"2014-08-26",14,58,0,0,"N"
"2014-08-25",80,2099,1,33,"N"
"2014-08-22",83,61,0,0,"N"
"2014-08-22",115,2013,2,31,"N"
"2014-08-21",83,89,0,0,"N"
"2014-08-20",28,125,0,4,"N"
"2014-08-19",84,2649,0,23,"N"
"2014-08-16",128,3051,0,52,"N"
"2014-08-16",23,375,0,4,"N"
"2014-08-14",58,267,0,15,"N"
"2014-08-13",156,3755,1,47,"N"
"2014-08-11",98,1964,3,55,"N"
"2014-08-07",124,3391,1,46,"N"
"2014-08-06",150,4087,2,47,"N"
"2014-08-05",165,3588,0,50,"N"
"2014-08-04",88,2500,0,30,"N"
"2014-08-02",91,3476,0,26,"N"
"2014-08-01",96,3016,0,24,"N"
"2014-07-31",169,3555,1,74,"N"
"2014-07-29",122,2565,0,39,"N"
"2014-07-25",121,4112,1,51,"N"
"2014-07-24",128,2077,2,33,"N"
"2014-07-23",63,169,0,8,"N"
"2014-07-22",104,3115,1,31,"N"
"2014-07-21",158,3302,2,32,"N"
"2014-07-19",8,44,0,3,"N"
"2014-07-18",29,102,0,2,"N"
"2014-07-17",21,97,0,1,"N"
"2014-07-16",72,1666,2,50,"N"
"2014-07-15",40,692,0,12,"N"
"2014-07-12",102,2348,1,27,"N"
"2014-07-12",24,42,0,1,"N"
"2014-07-08",57,1715,0,34,"N"
"2014-07-07",115,1815,0,27,"N"
"2014-07-03",131,2194,0,39,"N"
"2014-07-03",24,29,0,1,"N"
"2014-07-02",113,3029,1,31,"N"
"2014-07-01",203,3003,2,53,"N"
"2014-07-01",203,3003,2,53,"N"
"2014-07-01",77,1531,0,24,"N"
"2014-06-29",163,138,0,7,"N"
"2014-06-28",163,182,0,3,"N"
"2014-06-27",90,732,0,22,"N"
"2014-06-25",41,1358,0,11,"N"
"2014-06-24",157,3750,0,48,"N"
"2014-06-23",36,1293,0,12,"N"
"2014-06-22",24,35,0,0,"N"
"2014-06-19",144,2489,0,32,"N"
"2014-06-15",7,4134,0,28,"N"
"2014-06-13",21,691,0,6,"N"
"2014-06-12",21,1010,0,10,"N"
"2014-06-11",169,4430,0,47,"N"
"2014-06-10",228,5684,0,65,"N"
"2014-06-09",60,1100,0,18,"N"
"2014-06-08",16,1153,0,14,"N"
"2014-06-07",147,3375,2,30,"N"
"2014-06-05",39,1715,0,22,"N"
"2014-06-04",178,4425,0,56,"N"
"2014-06-02",98,3042,0,17,"N"
"2014-05-31",252,3762,0,54,"N"
"2014-05-30",97,2199,0,31,"N"
"2014-05-28",240,4988,2,72,"N"
"2014-05-26",15,35,0,0,"N"
"2014-05-25",31,210,0,4,"N"
"2014-05-24",10,52,0,0,"N"
"2014-05-23",152,2915,0,48,"N"
"2014-05-22",85,1227,0,11,"N"
"2014-05-22",113,2571,0,20,"N"
"2014-05-21",116,4031,0,35,"N"
"2014-05-20",354,8141,2,112,"N"
"2014-05-19",49,1170,0,22,"N"
"2014-05-18",93,2204,0,24,"N"
"2014-05-17",168,1345,0,92,"N"
"2014-05-15",9,31,0,2,"N"
"2014-05-13",111,158,0,4,"N"
"2014-05-12",124,202,0,2,"N"
"2014-05-10",188,5111,1,72,"N"
"2014-05-08",10,53,0,1,"N"
"2014-05-08",12,132,0,4,"N"
"2014-05-05",77,2311,0,24,"N"
"2014-05-03",231,5010,0,56,"N"
"2014-05-02",183,4068,0,56,"N"
"2014-05-01",102,60,0,0,"N"
"2014-04-24",281,4693,2,96,"N"
"2014-04-23",102,94,0,3,"N"
"2014-04-22",19,943,0,9,"N"
"2014-04-21",161,671,0,23,"N"
"2014-04-20",6,57,0,0,"N"
"2014-04-19",151,2511,1,41,"N"
"2014-04-19",221,2987,0,44,"N"
"2014-04-18",11,22,0,1,"N"
"2014-04-17",226,4046,0,52,"N"
"2014-04-16",4,49,0,3,"N"
"2014-04-16",44,75,0,1,"N"
"2014-04-11",27,41,0,2,"N"
"2014-04-10",229,2939,0,74,"N"
"2014-04-09",14,454,0,9,"N"
"2014-04-04",102,259,0,10,"N"
"2014-04-03",134,1595,0,34,"N"
"2014-04-01",65,141,0,0,"N"
"2014-03-31",61,289,0,17,"N"
"2014-03-27",146,2611,0,40,"N"
"2014-03-26",170,417,0,83,"N"
"2014-03-25",116,1546,0,28,"N"
"2014-03-24",46,947,0,26,"N"
"2014-03-23",100,1769,0,31,"N"
"2014-03-22",41,1043,0,13,"N"
"2014-03-22",54,1524,0,15,"N"
"2014-03-21",133,1970,0,30,"N"
"2014-03-20",129,1893,0,27,"N"
"2014-03-19",16,420,0,7,"N"
"2014-03-18",80,1725,0,17,"N"
"2014-03-17",497,1146,0,56,"N"
"2014-03-14",53,1070,0,17,"N"
"2014-03-13",67,109,0,4,"N"
"2014-03-11",148,2147,0,32,"N"
"2014-03-10",136,1919,0,39,"N"
"2014-03-08",55,881,0,15,"N"
"2014-03-05",49,1523,1,18,"N"
"2014-03-03",89,1766,1,24,"N"
"2014-02-24",67,1009,0,21,"N"
"2014-02-21",54,77,0,3,"N"
"2014-02-18",43,967,0,33,"N"
"2014-02-17",115,1136,0,17,"N"
"2014-02-14",78,1291,0,23,"N"
"2014-02-13",59,1340,0,27,"N"
"2014-02-11",148,1959,0,32,"N"
"2014-02-05",78,595,1,31,"N"
"2014-02-03",212,2556,0,41,"N"
"2014-01-31",118,694,0,28,"N"
"2014-01-29",100,1425,0,27,"N"
"2014-01-28",116,1673,0,21,"N"
"2014-01-27",151,1050,0,22,"N"
"2014-01-22",111,721,0,36,"N"
"2014-01-21",165,2040,1,33,"N"
"2014-01-17",44,164,0,7,"N"
"2014-01-16",12,51,0,0,"N"
"2014-01-15",67,317,0,23,"N"
"2014-01-13",111,1291,0,20,"N"
"2014-01-12",61,1202,0,9,"N"
"2014-01-10",29,515,0,8,"N"
"2014-01-10",18,321,0,6,"N"
"2014-01-09",83,1282,1,25,"N"
"2014-01-04",18,82,0,3,"N"
"2014-01-03",121,157,0,0,"N"
"2014-01-02",132,547,0,15,"N"
"2013-12-27",121,2038,1,48,"N"
