"date","share","like","emo","comment","brand"
"2016-12-15",2,370,24,3,"P"
"2016-12-12",36,580,25,13,"P"
"2016-12-11",47,1915,95,6,"P"
"2016-12-10",10,577,20,0,"P"
"2016-12-09",31,784,36,9,"P"
"2016-12-09",81,2105,119,22,"P"
"2016-12-08",73,1894,138,28,"P"
"2016-12-07",84,1885,100,15,"P"
"2016-12-04",10,267,11,9,"P"
"2016-12-03",0,629,13,5,"P"
"2016-12-03",29,807,37,3,"P"
"2016-12-01",49,1042,46,12,"P"
"2016-11-30",32,1317,78,12,"P"
"2016-11-30",42,974,55,8,"P"
"2016-11-27",31,1178,62,4,"P"
"2016-11-26",74,1421,93,35,"P"
"2016-11-23",63,1219,43,6,"P"
"2016-11-22",296,3887,500,140,"P"
"2016-11-21",22,801,25,7,"P"
"2016-11-20",45,1436,82,13,"P"
"2016-11-17",336,2747,323,160,"P"
"2016-11-16",94,907,38,5,"P"
"2016-11-15",26,920,34,4,"P"
"2016-11-14",63,1241,65,12,"P"
"2016-11-13",41,1316,35,8,"P"
"2016-11-11",37,988,38,6,"P"
"2016-11-10",205,3880,336,88,"P"
"2016-11-08",26,830,43,12,"P"
"2016-11-07",1505,1899,246,42,"P"
"2016-11-06",16,569,30,2,"P"
"2016-11-05",28,1960,113,28,"P"
"2016-11-05",144,2558,198,36,"P"
"2016-11-04",87,2248,124,28,"P"
"2016-11-03",37,1534,73,32,"P"
"2016-11-02",58,1484,71,21,"P"
"2016-11-01",14,636,19,7,"P"
"2016-10-31",75,622,40,13,"P"
"2016-10-30",42,1621,50,10,"P"
"2016-10-28",22,1078,34,10,"P"
"2016-10-27",48,2162,133,36,"P"
"2016-10-25",13,876,30,12,"P"
"2016-10-24",51,2301,155,40,"P"
"2016-10-23",105,2352,183,32,"P"
"2016-10-21",84,1763,118,25,"P"
"2016-10-21",14,376,20,2,"P"
"2016-10-18",127,1013,51,14,"P"
"2016-10-17",79,2418,117,39,"P"
"2016-10-16",38,487,30,7,"P"
"2016-10-14",1261,1568,235,27,"P"
"2016-10-13",28,790,33,9,"P"
"2016-10-11",168,2970,221,29,"P"
"2016-10-10",219,2407,235,47,"P"
"2016-10-09",572,9182,794,214,"P"
"2016-10-07",41,1287,49,14,"P"
"2016-10-06",19,398,14,4,"P"
"2016-10-05",60,1365,101,13,"P"
"2016-10-04",7,291,11,3,"P"
"2016-10-03",49,1084,98,19,"P"
"2016-10-02",14,609,11,5,"P"
"2016-10-01",14,420,25,11,"P"
"2016-09-30",117,2492,183,14,"P"
"2016-09-30",66,1032,79,18,"P"
"2016-09-29",123,1654,153,60,"P"
"2016-09-29",24,604,42,8,"P"
"2016-09-28",39,579,36,10,"P"
"2016-09-28",14,453,10,5,"P"
"2016-09-27",20,423,25,1,"P"
"2016-09-26",55,1634,147,29,"P"
"2016-09-25",125,470,50,6,"P"
"2016-09-24",35,1085,49,15,"P"
"2016-09-23",23,491,15,9,"P"
"2016-09-22",0,555,50,17,"P"
"2016-09-22",701,1582,263,43,"P"
"2016-09-21",25,685,23,4,"P"
"2016-09-20",45,865,70,11,"P"
"2016-09-20",35,1542,143,15,"P"
"2016-09-19",590,4267,605,94,"P"
"2016-09-18",7,448,23,3,"P"
"2016-09-16",89,1602,104,38,"P"
"2016-09-15",19,710,24,10,"P"
"2016-09-14",12,486,19,6,"P"
"2016-09-11",25,778,25,12,"P"
"2016-09-10",10,500,20,4,"P"
"2016-09-09",21,807,11,4,"P"
"2016-09-08",22,416,19,6,"P"
"2016-09-07",113,970,88,26,"P"
"2016-09-06",92,1922,120,20,"P"
"2016-09-06",39,435,21,5,"P"
"2016-09-04",31,991,36,5,"P"
"2016-09-03",25,879,39,11,"P"
"2016-09-02",755,2004,263,52,"P"
"2016-09-01",127,1756,131,46,"P"
"2016-08-28",7,559,7,4,"P"
"2016-08-26",78,1764,96,26,"P"
"2016-08-25",95,1494,115,41,"P"
