"date","share","like","emo","comment","brand"
"2016-12-15",21,442,27,13,"U"
"2016-12-13",34,1087,61,23,"U"
"2016-12-12",19,414,26,14,"U"
"2016-12-08",0,200,6,12,"U"
"2016-12-06",62,1516,78,28,"U"
"2016-12-06",11,411,12,10,"U"
"2016-12-05",203,2355,149,57,"U"
"2016-12-05",791,3919,322,199,"U"
"2016-12-04",67,874,52,47,"U"
"2016-12-04",119,2907,109,67,"U"
"2016-11-28",48,1238,65,31,"U"
"2016-11-28",36,565,21,21,"U"
"2016-11-25",27,394,15,18,"U"
"2016-11-25",0,1011,55,17,"U"
"2016-11-23",61,647,25,16,"U"
"2016-11-21",30,478,21,10,"U"
"2016-11-20",60,651,28,14,"U"
"2016-11-16",0,353,27,8,"U"
"2016-11-11",71,1162,45,6,"U"
"2016-11-11",55,317,12,3,"U"
"2016-11-10",64,1124,60,14,"U"
"2016-11-09",208,848,50,38,"U"
"2016-11-08",116,1777,104,21,"U"
"2016-11-08",0,638,33,8,"U"
"2016-11-07",0,644,32,12,"U"
"2016-11-07",36,1177,52,9,"U"
"2016-11-05",40,1122,42,4,"U"
"2016-11-05",58,1041,38,37,"U"
"2016-11-05",52,504,10,9,"U"
"2016-11-04",79,1989,75,16,"U"
"2016-11-03",50,752,28,17,"U"
"2016-11-01",57,583,28,8,"U"
"2016-10-29",0,531,24,5,"U"
"2016-10-28",0,428,34,5,"U"
"2016-10-27",0,531,36,22,"U"
"2016-10-26",52,1020,51,14,"U"
"2016-10-25",73,920,42,16,"U"
"2016-10-24",713,1203,128,177,"U"
"2016-10-23",66,895,63,17,"U"
"2016-10-22",0,217,4,9,"U"
"2016-10-21",185,1123,61,47,"U"
"2016-10-13",23,715,28,15,"U"
"2016-10-12",66,849,45,21,"U"
"2016-10-09",23,700,18,11,"U"
"2016-10-07",6,559,20,11,"U"
"2016-10-07",18,599,23,15,"U"
"2016-10-07",20,589,24,29,"U"
"2016-10-05",22,448,14,12,"U"
"2016-10-03",10,482,21,8,"U"
"2016-10-01",17,658,27,10,"U"
"2016-09-30",46,998,56,56,"U"
"2016-09-28",49,994,35,16,"U"
"2016-09-27",10,283,7,4,"U"
"2016-09-27",41,531,18,11,"U"
"2016-09-26",8,436,11,8,"U"
"2016-09-25",58,1014,85,67,"U"
"2016-09-22",35,1355,42,30,"U"
"2016-09-22",70,716,28,13,"U"
"2016-09-20",25,1171,41,21,"U"
"2016-09-19",61,1096,68,65,"U"
"2016-09-18",10,417,7,12,"U"
"2016-09-18",20,670,24,11,"U"
"2016-09-17",65,2793,67,24,"U"
"2016-09-16",15,575,15,16,"U"
"2016-09-16",7,446,18,4,"U"
"2016-09-16",8,477,10,12,"U"
"2016-09-15",15,667,17,18,"U"
"2016-09-15",9,365,5,11,"U"
"2016-09-15",9,458,11,2,"U"
"2016-09-14",12,724,22,11,"U"
"2016-09-14",11,286,10,4,"U"
"2016-09-13",13,686,27,17,"U"
"2016-09-13",7,334,7,4,"U"
"2016-09-13",12,694,18,23,"U"
"2016-09-11",33,978,30,19,"U"
"2016-09-10",12,618,22,11,"U"
"2016-09-10",40,938,32,12,"U"
"2016-09-08",60,765,51,23,"U"
"2016-09-08",28,667,19,7,"U"
"2016-09-08",93,456,20,11,"U"
"2016-09-08",78,548,22,6,"U"
"2016-09-07",2027,6161,303,279,"U"
"2016-09-04",57,706,39,19,"U"
"2016-09-03",17,515,11,13,"U"
"2016-09-02",81,826,41,14,"U"
"2016-09-01",85,1662,69,32,"U"
"2016-08-31",61,364,17,16,"U"
"2016-08-30",11,435,9,15,"U"
"2016-08-27",77,1446,75,39,"U"
"2016-08-27",12,549,11,14,"U"
"2016-08-26",117,1256,55,84,"U"
"2016-08-24",8,543,30,75,"U"
"2016-08-23",31,674,27,79,"U"
"2016-08-23",151,1684,99,73,"U"
"2016-08-22",50,875,51,68,"U"
"2016-08-22",36,342,26,101,"U"
"2016-08-22",10,291,10,45,"U"
"2016-08-22",629,3273,252,116,"U"
"2016-08-21",225,3643,221,217,"U"
"2016-08-20",18,698,28,224,"U"
"2016-08-16",19,408,46,284,"U"
"2016-08-16",4,385,25,110,"U"
"2016-08-15",18,680,32,88,"U"
"2016-08-15",17,440,17,63,"U"
"2016-08-15",4,372,19,36,"U"
"2016-08-14",12,531,32,35,"U"
"2016-08-14",1,323,16,19,"U"
"2016-08-14",3,373,17,26,"U"
"2016-08-14",17,680,43,19,"U"
"2016-08-14",32,916,59,46,"U"
"2016-08-14",1126,3015,319,84,"U"
"2016-08-14",80,2909,121,25,"U"
"2016-08-13",18,621,21,14,"U"
"2016-08-12",21,872,36,14,"U"
"2016-08-12",16,525,19,3,"U"
"2016-08-11",5,331,11,0,"U"
"2016-08-11",117,1059,48,10,"U"
"2016-08-11",98,2089,81,50,"U"
"2016-08-11",126,2658,144,13,"U"
"2016-08-10",16,680,28,4,"U"
"2016-08-10",167,2306,159,21,"U"
"2016-08-05",34,469,19,13,"U"
"2016-07-26",26,336,17,10,"U"
"2016-07-25",18,268,12,5,"U"
"2016-07-22",0,340,12,8,"U"
"2016-07-21",84,476,15,38,"U"
"2016-07-21",42,371,12,5,"U"
"2016-07-11",567,2254,84,117,"U"
"2016-07-10",82,797,40,16,"U"
"2016-07-09",20,159,6,1,"U"
"2016-07-09",27,273,18,4,"U"
"2016-07-09",34,133,9,4,"U"
"2016-07-07",32,140,8,6,"U"
"2016-07-05",70,400,16,11,"U"
"2016-07-01",32,301,15,12,"U"
"2016-06-30",36,1204,35,10,"U"
"2016-06-28",84,503,22,10,"U"
"2016-06-26",37,236,6,8,"U"
"2016-06-25",17,292,10,7,"U"
"2016-06-25",22,196,6,3,"U"
"2016-06-24",14,304,9,2,"U"
"2016-06-23",13,306,6,2,"U"
"2016-06-23",224,5862,193,171,"U"
"2016-06-22",23,493,13,8,"U"
"2016-06-13",36,678,9,12,"U"
"2016-06-06",27,549,19,8,"U"
"2016-06-04",37,696,47,9,"U"
"2016-06-04",2302,2863,200,43,"U"
"2016-06-04",10,230,29,0,"U"
"2016-06-04",664,1613,9,124,"U"
"2016-06-04",454,4169,400,27,"U"
"2016-06-03",25,254,4,5,"U"
"2016-05-31",138,1071,53,9,"U"
"2016-05-29",0,531,15,3,"U"
"2016-05-24",156,589,25,41,"U"
"2016-05-23",24,423,15,6,"U"
"2016-05-16",16,205,1,6,"U"
"2016-05-10",0,467,14,10,"U"
"2016-05-10",0,827,55,42,"U"
"2016-05-10",113,875,35,10,"U"
"2016-05-10",0,558,19,5,"U"
"2016-04-28",41,925,29,12,"U"
"2016-04-28",10,325,6,8,"U"
"2016-04-27",279,954,43,28,"U"
"2016-04-22",30,384,5,11,"U"
"2016-04-20",201,985,33,22,"U"
"2016-04-17",0,279,7,5,"U"
"2016-04-14",0,648,31,9,"U"
"2016-04-14",26,497,19,9,"U"
"2016-04-14",0,2056,106,49,"U"
"2016-04-11",14,345,7,7,"U"
"2016-04-11",82,1161,42,15,"U"
"2016-04-09",21,314,5,5,"U"
"2016-04-05",36,280,11,13,"U"
"2016-04-04",34,493,15,3,"U"
"2016-04-04",32,632,23,49,"U"
"2016-03-29",63,897,33,41,"U"
"2016-03-26",69,867,36,16,"U"
"2016-03-25",34,400,13,19,"U"
"2016-03-25",87,1102,42,6,"U"
"2016-03-24",43,346,14,8,"U"
"2016-03-22",26,177,2,7,"U"
"2016-03-21",30,180,4,6,"U"
"2016-03-19",86,3159,75,18,"U"
"2016-03-18",104,382,12,5,"U"
"2016-03-17",329,946,60,46,"U"
"2016-03-16",53,642,37,21,"U"
"2016-03-15",80,349,15,11,"U"
"2016-03-14",0,382,15,9,"U"
"2016-03-14",12,236,11,4,"U"
"2016-03-13",0,109,1,0,"U"
"2016-03-12",65,623,26,14,"U"
"2016-03-11",197,1222,54,21,"U"
"2016-03-10",77,308,7,3,"U"
"2016-03-10",20,346,7,4,"U"
"2016-03-09",31,335,14,10,"U"
"2016-03-09",19,272,6,9,"U"
"2016-03-09",4304,16794,473,315,"U"
"2016-03-09",20,282,9,5,"U"
"2016-03-08",34052,89904,5057,3205,"U"
"2016-03-07",232,2136,89,25,"U"
"2016-03-06",4,259,9,5,"U"
"2016-03-03",18,173,3,2,"U"
"2016-03-03",111,764,44,71,"U"
"2016-03-03",8,215,4,4,"U"
"2016-03-01",15,251,5,6,"U"
"2016-03-01",8,218,5,2,"U"
"2016-03-01",215,605,49,48,"U"
"2016-02-29",9,335,7,2,"U"
"2016-02-28",6,418,10,2,"U"
"2016-02-28",54,1095,14,93,"U"
"2016-02-28",54,343,18,4,"U"
"2016-02-28",3,134,7,0,"U"
"2016-02-27",13,211,3,2,"U"
"2016-02-27",28,344,21,6,"U"
"2016-02-27",11,195,7,1,"U"
"2016-02-26",140,2368,74,126,"U"
"2016-02-26",3,91,2,1,"U"
"2016-02-26",8,166,5,3,"U"
"2016-02-25",4,69,4,0,"U"
"2016-02-25",27,167,6,4,"U"
"2016-02-25",148,2158,59,66,"U"
"2016-02-25",3,153,3,6,"U"
"2016-02-24",18,143,8,6,"U"
"2016-02-24",0,97,1,0,"U"
"2016-02-24",18,240,4,7,"U"
"2016-02-24",125,1386,41,7,"U"
"2016-02-23",21,336,15,7,"U"
"2016-02-23",1732,10711,453,304,"U"
"2016-02-23",33764,106349,6174,2955,"U"
"2016-02-18",94,481,9,136,"U"
"2016-02-17",58,590,10,85,"U"
"2016-02-17",136,2017,26,73,"U"
"2016-02-16",27,195,2,17,"U"
"2016-02-14",25,207,1,7,"U"
"2016-02-14",25,475,3,14,"U"
"2016-02-14",86,323,0,12,"U"
"2016-02-13",15,200,0,9,"U"
"2016-02-13",12,157,0,3,"U"
"2016-02-13",32,378,3,16,"U"
"2016-02-13",2,154,0,6,"U"
"2016-02-12",48,294,1,8,"U"
"2016-02-12",13,136,4,3,"U"
"2016-02-12",63,677,14,21,"U"
"2016-02-11",5,289,0,5,"U"
"2016-02-10",19,246,0,9,"U"
"2016-02-10",74,640,16,28,"U"
"2016-02-09",15,117,2,1,"U"
"2016-02-08",5,192,1,3,"U"
"2016-02-08",25,1006,8,13,"U"
"2016-02-08",7,124,2,4,"U"
"2016-02-08",67,840,3,23,"U"
"2016-02-07",106,2607,5,27,"U"
"2016-02-07",23,256,2,1,"U"
"2016-02-07",28,536,3,3,"U"
"2016-02-07",11485,27680,4,846,"U"
"2016-02-07",67,411,4,10,"U"
"2016-02-07",27,298,0,2,"U"
"2016-02-07",79,641,10,23,"U"
"2016-02-06",21,169,0,4,"U"
"2016-02-06",43,118,0,2,"U"
"2016-02-06",35,265,0,6,"U"
"2016-02-05",30,109,1,5,"U"
"2016-02-05",155,321,0,14,"U"
"2016-02-05",16,491,0,4,"U"
"2016-02-05",276,1318,6,36,"U"
"2016-02-04",6,255,1,4,"U"
"2016-02-04",1796,5310,0,180,"U"
"2016-02-03",28,1036,4,11,"U"
"2016-02-02",16,242,0,5,"U"
"2016-02-01",5,110,0,1,"U"
"2016-01-30",47,237,2,12,"U"
"2016-01-29",30,211,0,6,"U"
"2016-01-28",286,1212,1,39,"U"
"2016-01-27",17,468,0,6,"U"
"2016-01-26",18,243,1,2,"U"
"2016-01-26",21,351,0,10,"U"
"2016-01-25",518,7570,15,77,"U"
"2016-01-23",7,575,1,1,"U"
"2016-01-19",24,416,0,4,"U"
"2016-01-16",21,228,0,4,"U"
"2016-01-15",11,330,1,4,"U"
"2016-01-13",16,186,0,2,"U"
"2016-01-11",16,185,0,4,"U"
"2016-01-11",25,393,1,8,"U"
"2016-01-05",181,421,2,54,"U"
"2016-01-05",145,543,1,52,"U"
"2015-12-31",19,361,1,4,"U"
"2015-12-21",158,568,3,29,"U"
"2015-12-20",8,271,0,2,"U"
"2015-12-18",0,331,1,3,"U"
"2015-12-16",95,583,2,18,"U"
"2015-12-14",151,1185,14,43,"U"
"2015-12-12",49,353,0,13,"U"
"2015-12-12",126,841,2,45,"U"
"2015-12-11",0,627,3,23,"U"
"2015-12-07",84,938,1,8,"U"
"2015-12-05",10,201,0,3,"U"
"2015-12-04",1086,4929,5,62,"U"
"2015-11-29",12,174,0,11,"U"
"2015-11-28",8,195,0,1,"U"
"2015-11-28",10,298,0,4,"U"
"2015-11-27",4,108,0,8,"U"
"2015-11-27",68,584,4,22,"U"
"2015-11-23",0,228,0,13,"U"
"2015-11-23",51,254,0,8,"U"
"2015-11-20",84,414,2,8,"U"
"2015-11-20",0,532,2,30,"U"
"2015-11-19",75,313,2,5,"U"
"2015-11-11",73,1693,0,15,"U"
"2015-11-11",0,400,0,7,"U"
"2015-11-09",63,507,1,9,"U"
"2015-11-06",0,335,0,8,"U"
"2015-11-06",0,520,0,21,"U"
"2015-11-03",4124,1693,10,52,"U"
"2015-11-02",25,247,0,3,"U"
"2015-10-30",59,332,0,9,"U"
"2015-10-30",26,250,2,6,"U"
"2015-10-27",0,715,2,26,"U"
"2015-10-26",3792,1529,8,28,"U"
"2015-10-24",0,768,1,17,"U"
"2015-10-21",5,231,0,2,"U"
"2015-10-21",0,861,1,18,"U"
"2015-10-20",188,625,1,51,"U"
"2015-10-20",34,1110,2,15,"U"
"2015-10-19",23,238,0,5,"U"
"2015-10-19",209,477,0,7,"U"
"2015-10-16",20,291,0,3,"U"
"2015-10-14",7,247,0,2,"U"
"2015-10-12",7,192,2,3,"U"
"2015-10-12",13,261,0,4,"U"
"2015-10-09",87,661,0,20,"U"
"2015-10-08",3,83,0,0,"U"
"2015-10-07",10,398,0,2,"U"
"2015-10-06",4,190,0,4,"U"
"2015-10-02",16,441,0,6,"U"
"2015-10-01",38,464,0,5,"U"
"2015-10-01",2,148,0,0,"U"
"2015-09-30",116,393,1,4,"U"
"2015-09-29",191,1217,2,10,"U"
"2015-09-28",180,808,0,23,"U"
"2015-09-28",49,302,1,4,"U"
"2015-09-27",57,472,0,9,"U"
"2015-09-22",40,302,0,5,"U"
