"post","date","share","like","emo","comment","brand"
2,"2016-12-14",16,1541,59,20,"A"
3,"2016-12-11",44,1661,69,24,"A"
6,"2016-12-03",6,1278,31,19,"A"
7,"2016-12-02",36,2581,86,55,"A"
8,"2016-11-30",14,1548,51,24,"A"
9,"2016-11-27",32,2632,108,38,"A"
12,"2016-11-24",217,2076,116,164,"A"
13,"2016-11-22",55,2405,84,48,"A"
14,"2016-11-22",11,643,20,15,"A"
16,"2016-11-21",19,772,24,13,"A"
17,"2016-11-19",12,730,27,16,"A"
19,"2016-11-18",7,452,13,9,"A"
20,"2016-11-17",16,608,22,9,"A"
21,"2016-11-17",9030,37648,4604,1191,"A"
22,"2016-11-06",42,1507,66,43,"A"
23,"2016-11-05",41,1691,70,31,"A"
24,"2016-11-04",415,8089,635,202,"A"
25,"2016-11-04",1389,2797,270,164,"A"
26,"2016-11-03",48,752,41,16,"A"
27,"2016-11-02",26,520,22,14,"A"
29,"2016-10-31",105,2653,226,114,"A"
30,"2016-10-29",63,1376,99,25,"A"
31,"2016-10-28",9,797,27,14,"A"
32,"2016-10-25",53,1175,41,27,"A"
33,"2016-10-23",47,924,40,15,"A"
34,"2016-10-22",20,968,30,18,"A"
36,"2016-10-20",13,932,35,16,"A"
38,"2016-10-17",16,945,34,16,"A"
40,"2016-10-17",58,3419,125,37,"A"
41,"2016-10-17",17418,65893,10067,1975,"A"
44,"2016-10-10",28,1258,36,23,"A"
46,"2016-10-07",55,808,40,12,"A"
47,"2016-10-04",39,616,22,20,"A"
51,"2016-09-21",871,3773,407,212,"A"
53,"2016-09-17",23,700,30,20,"A"
54,"2016-09-16",23,560,16,10,"A"
55,"2016-09-14",274,3032,430,1067,"A"
58,"2016-09-10",229,1741,89,47,"A"
59,"2016-09-10",126,4833,278,113,"A"
62,"2016-09-09",8,434,19,8,"A"
65,"2016-09-08",32,550,24,10,"A"
68,"2016-09-02",81,732,30,15,"A"
69,"2016-09-01",66,894,40,19,"A"
70,"2016-08-31",28,705,21,23,"A"
74,"2016-08-19",14,847,18,30,"A"
76,"2016-08-16",14,416,15,15,"A"
77,"2016-08-16",33,449,32,41,"A"
79,"2016-08-15",13,341,10,5,"A"
80,"2016-08-15",35,734,32,10,"A"
81,"2016-08-14",10,475,22,4,"A"
83,"2016-08-13",8,361,9,2,"A"
91,"2016-08-11",7,275,11,4,"A"
95,"2016-08-07",7,414,15,11,"A"
97,"2016-08-06",7,348,18,5,"A"
99,"2016-08-06",7,326,20,1,"A"
100,"2016-08-06",12,331,20,4,"A"
102,"2016-08-06",6,270,15,3,"A"
103,"2016-08-05",7,644,24,9,"A"
104,"2016-07-22",322,1078,62,108,"A"
105,"2016-07-22",13,601,15,31,"A"
107,"2016-07-21",16,604,21,18,"A"
108,"2016-07-19",20,559,23,16,"A"
111,"2016-07-14",504,1356,80,114,"A"
112,"2016-07-14",253,616,54,35,"A"
114,"2016-07-12",65,700,33,21,"A"
116,"2016-07-11",21,513,34,4,"A"
118,"2016-07-02",27,596,21,19,"A"
119,"2016-06-30",91,503,43,27,"A"
121,"2016-06-28",79,396,16,18,"A"
123,"2016-06-22",50,737,36,73,"A"
125,"2016-06-13",42,554,22,25,"A"
127,"2016-06-10",26,504,18,40,"A"
128,"2016-06-09",35,441,9,13,"A"
129,"2016-06-08",82,952,79,76,"A"
131,"2016-06-05",19,280,10,18,"A"
132,"2016-06-05",14,407,17,13,"A"
133,"2016-06-02",29,370,13,20,"A"
134,"2016-05-30",53,385,33,19,"A"
135,"2016-05-28",698,988,120,31,"A"
136,"2016-05-27",37,312,12,11,"A"
137,"2016-05-22",35,402,12,27,"A"
140,"2016-05-14",1151,1728,132,125,"A"
144,"2016-04-28",25,1082,18,25,"A"
145,"2016-04-27",36,547,32,29,"A"
147,"2016-04-16",105,734,44,55,"A"
148,"2016-04-15",19,453,21,26,"A"
149,"2016-04-09",155,817,33,56,"A"
150,"2016-04-06",19,899,18,17,"A"
151,"2016-04-02",36,706,25,29,"A"
152,"2016-04-01",33,373,10,13,"A"
153,"2016-03-28",44,378,15,20,"A"
154,"2016-03-27",830,2609,185,705,"A"
155,"2016-03-25",24,694,25,25,"A"
156,"2016-03-23",75,491,31,37,"A"
157,"2016-03-16",200,4078,60,108,"A"
158,"2016-03-10",53,1004,32,89,"A"
160,"2016-02-14",1766,14145,211,1673,"A"
