message,link,permalink_url,created_time,type,name,id,share/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,,
Tomorrow we brave the dropping temperatures in France with IGNITE PWRWARM to #IGNITEParis. Are you ready?,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10153710280653216/?type=3,https://www.facebook.com/PUMA/posts/10153710280653216:0,2015-10-19T14:35:10+0000,photo,Timeline Photos,56470448215_10153710280653216,30,580,NONE,580,FALSE,FALSE,ranked,6,FALSE,"https://graph.facebook.com/v2.8/56470448215/posts?fields=message,link,permalink_url,created_time,type,name,id,comments.limit%280%29.summary%28true%29,shares,likes.limit%280%29.summary%28true%29,reactions.limit%280%29.summary%28true%29&limit=100&__paging_token=enc_AdAUIyP3zwtIDUGZBjhYdmZAsIK0BtxyrNXW6dZBlNj87NpGrygY8NxWBHeqyYtIC3hJHh4PZAtkAU7xTzL9RLbfAtXj&since=1445265310&access_token=1053491811442987|4bcc96fbefc5947e12b737decab00f44&__previous=1","https://graph.facebook.com/v2.8/56470448215/posts?fields=message,link,permalink_url,created_time,type,name,id,comments.limit%280%29.summary%28true%29,shares,likes.limit%280%29.summary%28true%29,reactions.limit%280%29.summary%28true%29&limit=100&__paging_token=enc_AdDZAYo2joRYPjk1J9GwNmzbE2L00c9MZAMzhfWpKVfYIDyhD6inGaKCl2dcFQjAAVncOg2reENYLp9OJOzxONx8Qp&access_token=1053491811442987|4bcc96fbefc5947e12b737decab00f44&until=1433346335"
Designed on running heritage. Packed with style. The #R698 Mesh Neoprene is Sunday-ready. Get yours at www.PUMA.com.,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10153708921133216/?type=3,https://www.facebook.com/PUMA/posts/10153708921133216:0,2015-10-18T17:33:09+0000,photo,Timeline Photos,56470448215_10153708921133216,29,528,NONE,528,FALSE,FALSE,ranked,6,FALSE,,
Saturdays are for speed. Get there first. #ForeverFaster #evoSPEED,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10153707086873216/?type=3,https://www.facebook.com/PUMA/posts/10153707086873216:0,2015-10-17T16:45:05+0000,photo,Timeline Photos,56470448215_10153707086873216,28,606,NONE,606,FALSE,FALSE,ranked,10,FALSE,,
Our latest run crew takes the streets of Paris. Get ready. Get inspired to #IGNITEParis.,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10153698971858216/?type=3,https://www.facebook.com/PUMA/posts/10153698971858216:0,2015-10-13T14:55:10+0000,photo,Timeline Photos,56470448215_10153698971858216,23,493,NONE,492,FALSE,FALSE,ranked,17,FALSE,,
You waited all week for this. Make Saturday count with the latest evoSPEED SL.,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10153693530198216/?type=3,https://www.facebook.com/PUMA/posts/10153693530198216:0,2015-10-10T14:30:09+0000,photo,Timeline Photos,56470448215_10153693530198216,56,597,NONE,597,FALSE,FALSE,ranked,10,FALSE,,
On Fridays we break out the icons. T7 jackets and suedes make weekend dressing #ForeverFaster.,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10153691681408216/?type=3,https://www.facebook.com/PUMA/posts/10153691681408216:0,2015-10-09T13:45:10+0000,photo,Timeline Photos,56470448215_10153691681408216,26,495,NONE,495,FALSE,FALSE,ranked,11,FALSE,,
"When your cardio workout calls, IGNITE XT answers with its responsive cushioning. Get yours at PUMA.com/IGNITEXT.",https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10153690198353216/?type=3,https://www.facebook.com/PUMA/posts/10153690198353216:0,2015-10-08T17:00:14+0000,photo,Timeline Photos,56470448215_10153690198353216,19,521,NONE,521,FALSE,FALSE,ranked,13,FALSE,,
"""I love working out. It's one of my favorite things. I pretty much plan my day around going to the gym."" Lexi Thompson has made a pact to train faster, stronger, fiercer. Make yours at PUMA.com/Pact.",https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10153688397548216/?type=3,https://www.facebook.com/PUMA/posts/10153688397548216:0,2015-10-07T15:28:16+0000,photo,Timeline Photos,56470448215_10153688397548216,8,349,NONE,349,FALSE,FALSE,ranked,8,FALSE,,
"""Working my upper body helps my strength on the golf course and my control throughout my swing. I do a mix bicep curls and pull ups, and I work a lot with the battle ropes."" Golfer Lexi Thompson trains #NoMatterWhat.",https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10153686655618216/?type=3,https://www.facebook.com/PUMA/posts/10153686655618216:0,2015-10-06T14:45:08+0000,photo,Timeline Photos,56470448215_10153686655618216,19,472,NONE,472,FALSE,FALSE,ranked,16,FALSE,,
Golfer Lexi Thompson trains in the IGNITE XT. Get into her story at PUMA.com/training.,https://www.facebook.com/PUMA/videos/10153684591368216/,https://www.facebook.com/PUMA/videos/10153684591368216/,2015-10-05T14:24:41+0000,video,Lexi TVC,56470448215_10153684591368216,16,141,NONE,141,FALSE,FALSE,ranked,4,FALSE,,
Our blurred bomber sweat. Style packed comfort ready for the weekend.,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10153681021648216/?type=3,https://www.facebook.com/PUMA/posts/10153681021648216:0,2015-10-03T13:18:07+0000,photo,Timeline Photos,56470448215_10153681021648216,41,463,NONE,463,FALSE,FALSE,ranked,7,FALSE,,
From the beach to the ridge. Our runners took Cape Town by storm when they laced up to #IGNITECapeTown.,https://www.facebook.com/PUMA/videos/10153666115653216/,https://www.facebook.com/PUMA/videos/10153666115653216/,2015-10-01T14:00:00+0000,video,,56470448215_10153666115653216,64,223,NONE,223,FALSE,FALSE,ranked,4,FALSE,,
Don't dread it. Devour it. Tackle your training sessions your way in the IGNITE XT #NoMatterWhat.,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10153674224108216/?type=3,https://www.facebook.com/PUMA/posts/10153674224108216:0,2015-09-29T16:28:08+0000,photo,Timeline Photos,56470448215_10153674224108216,92,1643,NONE,1643,FALSE,FALSE,ranked,35,FALSE,,
"""I really wanted to dig into their archive and give classic silhouettes my own spin. The PUMA Creeper is just that.""â€“ Rihanna. Available in select PUMA stores.",https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10153674018793216/?type=3,https://www.facebook.com/PUMA/posts/10153674018793216:0,2015-09-29T14:00:11+0000,photo,Timeline Photos,56470448215_10153674018793216,124,1100,NONE,1079,FALSE,FALSE,ranked,59,FALSE,,
