message,link,permalink_url,created_time,type,name,id,share/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,,
Game. Set. Murray. #DavisCupFinal #IWILL,https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10153700519056287/?type=3,https://www.facebook.com/Underarmour/posts/10153700519056287:0,2015-11-28T17:26:42+0000,photo,Timeline Photos,8741241286_10153700519056287,8,195,NONE,195,FALSE,FALSE,ranked,1,FALSE,"https://graph.facebook.com/v2.8/8741241286/posts?fields=message,link,permalink_url,created_time,type,name,id,comments.limit%280%29.summary%28true%29,shares,likes.limit%280%29.summary%28true%29,reactions.limit%280%29.summary%28true%29&limit=100&__paging_token=enc_AdDByt33qH20VVwdJBggKmcdF7zDa0q9hOl9uF7noizI3SVaerZAWxDAFZB1oYvZCQDuKxZC9jJDKlieidU3nTYT3ZB0w&since=1448731602&access_token=1053491811442987|4bcc96fbefc5947e12b737decab00f44&__previous=1","https://graph.facebook.com/v2.8/8741241286/posts?fields=message,link,permalink_url,created_time,type,name,id,comments.limit%280%29.summary%28true%29,shares,likes.limit%280%29.summary%28true%29,reactions.limit%280%29.summary%28true%29&limit=100&__paging_token=enc_AdCMJqxRIGZAlKMv0lu0522D7d4e53ZBMN2efZATApbdjdXGUOj6ZA972oxp7Bj3CfpT1mjAtdKhhzQStoJHNwOdbNBQ&access_token=1053491811442987|4bcc96fbefc5947e12b737decab00f44&until=1438293605"
They've trained for 28 years to put 79 years behind us. #DavisCupFinal #IWILL,https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10153700101046287/?type=3,https://www.facebook.com/Underarmour/posts/10153700101046287:0,2015-11-28T12:03:06+0000,photo,Timeline Photos,8741241286_10153700101046287,10,298,NONE,298,FALSE,FALSE,ranked,4,FALSE,,
First win for GB and Andy Murray. #DavisCupFinal #IWILL,https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10153699049131287/?type=3,https://www.facebook.com/Underarmour/posts/10153699049131287:0,2015-11-27T18:51:49+0000,photo,Timeline Photos,8741241286_10153699049131287,4,108,NONE,108,FALSE,FALSE,ranked,8,FALSE,,
Fly the flag. Own the court. Andy Murray #DavisCupFinal #IWILL,https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10153698842586287/?type=3,https://www.facebook.com/Underarmour/posts/10153698842586287:0,2015-11-27T16:18:31+0000,photo,Timeline Photos,8741241286_10153698842586287,68,588,NONE,584,FALSE,FALSE,ranked,22,FALSE,,
,https://www.facebook.com/uabasketball/videos/911729658875108/,https://www.facebook.com/Underarmour/posts/10153691631431287,2015-11-23T20:12:43+0000,video,Under Armour Basketball,8741241286_10153691631431287,,228,NONE,228,FALSE,FALSE,ranked,13,FALSE,,
â€œDonâ€™t quit. Suffer now and live your life as a champion.â€ù Muhammad Ali #RuleYourself #IWILL,https://www.facebook.com/Underarmour/videos/10153691176451287/,https://www.facebook.com/Underarmour/videos/10153691176451287/,2015-11-23T16:12:50+0000,video,"Muhammad Ali | ""Job""",8741241286_10153691176451287,51,254,NONE,254,FALSE,FALSE,ranked,8,FALSE,,
â€œThe will must be stronger than the skill.â€ù - Muhammad Ali  Watch Canelo Alvarez train for #CottoCanelo.,https://www.facebook.com/Underarmour/videos/10153686287451287/,https://www.facebook.com/Underarmour/videos/10153686287451287/,2015-11-20T22:30:01+0000,video,Canelo Alavarez | Remember My Name Inspired By The Greatest,8741241286_10153686287451287,84,416,NONE,414,FALSE,FALSE,ranked,8,FALSE,,
,https://www.facebook.com/uabasketball/photos/a.276454495735964.61108.240581242656623/910641945650546/?type=3,https://www.facebook.com/Underarmour/posts/10153685674091287,2015-11-20T15:04:39+0000,photo,Under Armour Basketball,8741241286_10153685674091287,,534,NONE,532,FALSE,FALSE,ranked,30,FALSE,,
"According to the living legend George Brett, the choice was obvious. We agree.    Congrats, Bryce Harper. #MVP",https://www.facebook.com/Underarmour/videos/10153684521516287/,https://www.facebook.com/Underarmour/videos/10153684521516287/,2015-11-19T23:35:56+0000,video,Bryce Harper | 2015 National League MVP,8741241286_10153684521516287,75,315,NONE,313,FALSE,FALSE,ranked,5,FALSE,,
"This Veterans Day, weâ€™re honored to welcome Retired U.S. Navy Lt. and Paralympic swimmer, Brad Snyder USA, and Retired U.S. Army First Lt. and Paralympic Triathlete, Melissa Stockwell USA, to the UA Family. #TeamUA   Today and everyday, we salute you for all youâ€™ve done to protect and serve our country. #UAFreedom #IWILL   Learn more about UA Freedom at undrarmr.co/UAFreedom",https://www.facebook.com/Underarmour/photos/a.10152521975821287.1073741932.8741241286/10153670915196287/?type=3,https://www.facebook.com/Underarmour/posts/10153670917346287,2015-11-11T16:07:07+0000,photo,Photos from Under Armour's post,8741241286_10153670917346287,73,1693,NONE,1693,FALSE,FALSE,ranked,15,FALSE,,
