"data__message","data__link","data__permalink_url","data__created_time","data__type","data__name","data__id","data__shares__count","data__reactions__summary__total_count","data__reactions__summary__viewer_reaction","data__likes__summary__total_count","data__likes__summary__can_like","data__likes__summary__has_liked","data__comments__summary__order","data__comments__summary__total_count","data__comments__summary__can_comment","paging__previous","paging__next"
"Leading the way with the support of many.  #SpeedTakes family. Find out more: www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1181743215181929/","https://www.facebook.com/adidas/videos/1181743215181929/","2016-08-06T13:00:23+0000","video","Speed Takes Family - adidas","182162001806727_1181743215181929","13","316","NONE","294","False","False","ranked","3","False","https://graph.facebook.com/v2.8/182162001806727/posts?fields=message,link,permalink_url,created_time,type,name,id,comments.limit%280%29.summary%28true%29,shares,likes.limit%280%29.summary%28true%29,reactions.limit%280%29.summary%28true%29&limit=100&__paging_token=enc_AdDd1ZBrRrrHfx7OLwII9aqbnw2tOyeA1LnQgZBBw8XSTyUuWe6DSeG9r0MivHVJhsBitpOrjXaZBSPZAh20F1rMLhGXWWNkU8D0P5xALjQRobPUaAZDZD&since=1470488423&access_token=1053491811442987|4bcc96fbefc5947e12b737decab00f44&__previous=1","https://graph.facebook.com/v2.8/182162001806727/posts?fields=message,link,permalink_url,created_time,type,name,id,comments.limit%280%29.summary%28true%29,shares,likes.limit%280%29.summary%28true%29,reactions.limit%280%29.summary%28true%29&limit=100&__paging_token=enc_AdBJsG7sgXmMxiC1iQ8wCfoysZA2jnA4Qjba2dRIkf9mH5I94SnPOYI4WZBMsy9KUGHWMARCLZBdbSXZBDpu84sf1JzaZAxrbg95rujQm1ZChLdduNQQZDZD&access_token=1053491811442987|4bcc96fbefc5947e12b737decab00f44&until=1442788825"
"Prepped for the job in hand.  Ready to defend his title. #SpeedTakes focus. Find out more: www.adidas.com/speedtakes","https://www.facebook.com/adidas/videos/1181706075185643/","https://www.facebook.com/adidas/videos/1181706075185643/","2016-08-06T12:00:18+0000","video","Speed Takes Focus - adidas","182162001806727_1181706075185643","6","285","NONE","270","False","False","ranked","3","False","",""
"","https://www.facebook.com/adidas/photos/a.378587962164129.86570.182162001806727/1181228318566752/?type=3","https://www.facebook.com/adidas/posts/1181228368566747","2016-08-05T19:06:30+0000","photo","adidas's cover photo","182162001806727_1181228318566752","7","668","NONE","644","False","False","ranked","9","False","",""
"Summer is a time to experiment with your creativity, no matter what city you’re in. Damian Lillard is here to create.","https://www.facebook.com/adidas/videos/1171129022910015/","https://www.facebook.com/adidas/videos/1171129022910015/","2016-07-22T14:00:00+0000","video","Creating Clutch - adidas","182162001806727_1171129022910015","322","1140","NONE","1078","False","False","ranked","108","False","",""
"","https://www.facebook.com/adidas/photos/a.378587962164129.86570.182162001806727/1171166096239641/?type=3","https://www.facebook.com/adidas/posts/1171166616239589","2016-07-22T13:47:34+0000","photo","adidas's cover photo","182162001806727_1171166096239641","13","616","NONE","601","False","False","ranked","31","False","",""
"","https://www.facebook.com/adidas/photos/a.187482561274671.40774.182162001806727/1168539029835681/?type=3","https://www.facebook.com/adidas/posts/1171166429572941:0","2016-07-22T13:47:25+0000","photo","adidas","182162001806727_1168539029835681","54","436","NONE","405","False","False","ranked","22","False","",""
"Geared to create, Andrew Wiggins reps the all-new Crazy Explosive, with full-length BOOST and Primeknit. Now available for order worldwide.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1170091079680476/?type=3","https://www.facebook.com/adidas/posts/1170091079680476:0","2016-07-21T02:18:22+0000","photo","Timeline Photos","182162001806727_1170091079680476","16","625","NONE","604","False","False","ranked","18","False","",""
"Create inspiration through style and performance. Welcome to the adidas by Stella McCartney family, Karlie Kloss.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1169296723093245/?type=3","https://www.facebook.com/adidas/posts/1169296723093245:0","2016-07-19T18:31:02+0000","photo","Timeline Photos","182162001806727_1169296723093245","20","582","NONE","559","False","False","ranked","16","False","",""
"","https://www.facebook.com/adidas/photos/a.378587962164129.86570.182162001806727/1168539449835639/?type=3","https://www.facebook.com/adidas/posts/1168539486502302","2016-07-18T15:46:23+0000","photo","adidas's cover photo","182162001806727_1168539449835639","7","435","NONE","419","False","False","ranked","8","False","",""
"","https://www.facebook.com/adidas/photos/a.187482561274671.40774.182162001806727/1165819983440919/?type=3","https://www.facebook.com/adidas/posts/1168539089835675:0","2016-07-18T15:45:26+0000","photo","adidas","182162001806727_1165819983440919","41","309","NONE","294","False","False","ranked","17","False","",""
