message,link,permalink_url,created_time,type,name,id,share/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,,
"Fekete, FehÃ©r Ã©s fenyegetÅ‘.  Szegd meg a szabÃ¡lyokat az Ãºj Nike Air Foamposite cipÅ‘jÃ©vel. ExkluzÃ_van elÃ©rhetÅ‘ december 14-tÅ‘l: http://go.nike.com/3d6vbl3",https://www.facebook.com/nikesportswear/videos/10154839337314114/,https://www.facebook.com/nikesportswear/videos/10154839337314114/,2016-12-13T16:06:37+0000,video,Nike Air Foamposite Pro,20825389113_10154839337314114,9,73,NONE,68,FALSE,FALSE,ranked,4,FALSE,"https://graph.facebook.com/v2.8/20825389113/posts?fields=message,link,permalink_url,created_time,type,name,id,comments.limit%280%29.summary%28true%29,shares,likes.limit%280%29.summary%28true%29,reactions.limit%280%29.summary%28true%29&limit=100&since=1481645197&access_token=1053491811442987|4bcc96fbefc5947e12b737decab00f44&__paging_token=enc_AdCZBNp6B51X14Q7tkJSZCUzRfGoFLaLF911FDV5FtDKAAL9Q1AMWKvVmrkUCjtZAgCG4BQZCsNqyGz7ffrcZBl3mUS6j&__previous=1","https://graph.facebook.com/v2.8/20825389113/posts?fields=message,link,permalink_url,created_time,type,name,id,comments.limit%280%29.summary%28true%29,shares,likes.limit%280%29.summary%28true%29,reactions.limit%280%29.summary%28true%29&limit=100&access_token=1053491811442987|4bcc96fbefc5947e12b737decab00f44&until=1404238393&__paging_token=enc_AdDJlFp5EXE9VnIo5uSW4DAwEqwVl7o6GPoDiKAPPWZAOkORyQtVzY3cxLbNZBOWUsUFvU33h2arCiKVbTFLLESDvn"
A combinaÃ§Ã£o perfeita do moletom com a malha.  O Nike Tech Fleece Windrunner Masculino jÃ¡ estÃ¡ disponÃ_vel em http://gonike.me/Tech-Pack  #techpack,https://www.facebook.com/nikesportswear/photos/a.170422069113.120009.20825389113/10154488404684114/?type=3,https://www.facebook.com/nikesportswear/posts/10154488407669114,2016-09-01T19:00:00+0000,photo,Photos from Nike Sportswear's post,20825389113_10154488407669114,99,6036,NONE,5787,FALSE,FALSE,ranked,213,FALSE,,
,https://www.facebook.com/nike/videos/10154037538488445/,https://www.facebook.com/nikesportswear/posts/10154406478914114,2016-08-05T03:07:27+0000,video,Nike,20825389113_10154406478914114,,468,NONE,442,FALSE,FALSE,ranked,11,FALSE,,
Anatomy-inspired protection.  The men's Air Max 95 SneakerBoot is available now: swoo.sh/1MfRbv5 #sneakerboots #airmax,https://www.facebook.com/nikesportswear/photos/a.170422069113.120009.20825389113/10153743531424114/?type=3,https://www.facebook.com/nikesportswear/posts/10153743546399114,2015-11-18T19:01:41+0000,photo,Photos from Nike Sportswear's post,20825389113_10153743546399114,50,457,NONE,457,FALSE,FALSE,ranked,14,FALSE,,
Winter force.  The men's Lunar Force 1 Duckboot is available now: swoo.sh/1MfRbv5 #sneakerboot #af1,https://www.facebook.com/nikesportswear/photos/a.170422069113.120009.20825389113/10153734876919114/?type=3,https://www.facebook.com/nikesportswear/posts/10153734881134114,2015-11-13T18:21:40+0000,photo,Photos from Nike Sportswear's post,20825389113_10153734881134114,35,377,NONE,377,FALSE,FALSE,ranked,14,FALSE,,
Warm winter air.  The men's Air Max 90 SneakerBoot is available now: swoo.sh/1MfRbv5 #sneakerboots #airmax,https://www.facebook.com/nikesportswear/photos/a.170422069113.120009.20825389113/10153731712779114/?type=3,https://www.facebook.com/nikesportswear/posts/10153731716364114,2015-11-11T20:14:47+0000,photo,Photos from Nike Sportswear's post,20825389113_10153731716364114,35,395,NONE,395,FALSE,FALSE,ranked,13,FALSE,,
The women's Acorra SneakerBoot updates Nike's All Conditions Gear hiking boot with premium winter treatments.   Available now: swoo.sh/1Mb2Esq #sneakerboots,https://www.facebook.com/nikesportswear/photos/a.170422069113.120009.20825389113/10153727880424114/?type=3,https://www.facebook.com/nikesportswear/posts/10153727884044114,2015-11-09T17:15:06+0000,photo,Photos from Nike Sportswear's post,20825389113_10153727884044114,28,246,NONE,246,FALSE,FALSE,ranked,8,FALSE,,
Elevated protection.  The women's Dunk Sky Hi SneakerBoot is available now: swoo.sh/1Mb2Esq #sneakerboots,https://www.facebook.com/nikesportswear/photos/a.170422069113.120009.20825389113/10153724527654114/?type=3,https://www.facebook.com/nikesportswear/posts/10153724533744114,2015-11-07T17:23:44+0000,photo,Photos from Nike Sportswear's post,20825389113_10153724533744114,20,211,NONE,211,FALSE,FALSE,ranked,6,FALSE,,
Breathable warmth for every cold-weather venture.  The Holiday '15 Nike Tech Fleece Aeroloft Collection is available now. Men's: swoo.sh/1kncT5A  Women's: swoo.sh/1RqdvSG #techpack,https://www.facebook.com/nikesportswear/photos/a.170422069113.120009.20825389113/10153721262819114/?type=3,https://www.facebook.com/nikesportswear/posts/10153721264489114,2015-11-05T22:41:59+0000,photo,Photos from Nike Sportswear's post,20825389113_10153721264489114,10,148,NONE,148,FALSE,FALSE,ranked,4,FALSE,,
Be warm. Be dry. Been seen.   The Holiday '15 SneakerBoot Collection. Men's: swoo.sh/1MfRbv5 Women's: swoo.sh/1Mb2Esq #sneakerboots,https://www.facebook.com/nikesportswear/photos/a.170422069113.120009.20825389113/10153721249079114/?type=3,https://www.facebook.com/nikesportswear/posts/10153721251219114,2015-11-05T22:30:10+0000,photo,Photos from Nike Sportswear's post,20825389113_10153721251219114,17,290,NONE,290,FALSE,FALSE,ranked,10,FALSE,,
