message,link,permalink_url,created_time,type,name,id,share/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,,
From the darkness to the light.  Michael Phelps' return to the pool showcases his unconquerable spirit.  The new #RuleYourself spot featuring him drops tomorrow. Go behind the scenes and see his emotional reaction the first time he watched it.,https://www.facebook.com/Underarmour/videos/10153909713886287/,https://www.facebook.com/Underarmour/videos/10153909713886287/,2016-03-07T14:30:36+0000,video,Michael Phelps' Reaction,8741241286_10153909713886287,232,2225,NONE,2136,FALSE,FALSE,ranked,25,FALSE,"https://graph.facebook.com/v2.8/8741241286/posts?fields=message,link,permalink_url,created_time,type,name,id,comments.limit%280%29.summary%28true%29,shares,likes.limit%280%29.summary%28true%29,reactions.limit%280%29.summary%28true%29&limit=100&__paging_token=enc_AdApFZBFTkbRE4Emh8BuZC25coHkGuhEygP9MvvJoyZAu8Ck9KmzrtXNcJZBYJkWA9CUjORYP5QsYSSYVOZBGZAElrfx1n&since=1457361036&access_token=1053491811442987|4bcc96fbefc5947e12b737decab00f44&__previous=1","https://graph.facebook.com/v2.8/8741241286/posts?fields=message,link,permalink_url,created_time,type,name,id,comments.limit%280%29.summary%28true%29,shares,likes.limit%280%29.summary%28true%29,reactions.limit%280%29.summary%28true%29&limit=100&__paging_token=enc_AdCmkBgZAwvLs9eCT8xb3L26cf35eTQxdM8STEYZB1W4sZCSGArqvW9RueuHPUMYLAnHmKuchBi9ZCWLBdPBTFkCEASx&access_token=1053491811442987|4bcc96fbefc5947e12b737decab00f44&until=1448810322"
RULE: Do not disturb. #RuleYourself,https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10153906278556287/?type=3,https://www.facebook.com/Underarmour/posts/10153906278556287:0,2016-03-06T16:05:05+0000,photo,Timeline Photos,8741241286_10153906278556287,4,268,NONE,259,FALSE,FALSE,ranked,5,FALSE,,
The next chapter of the New York Cosmos starts here. #SlayYourNextGiant,https://www.facebook.com/Underarmour/videos/10153898319506287/,https://www.facebook.com/Underarmour/videos/10153898319506287/,2016-03-03T17:00:00+0000,video,New York Cosmos Partnership,8741241286_10153898319506287,18,176,NONE,173,FALSE,FALSE,ranked,2,FALSE,,
Chasing greatness one day at a time.  #ProjectRock starts now. undrarmr.co/UAxProjectRock,https://www.facebook.com/Underarmour/videos/10153898208226287/,https://www.facebook.com/Underarmour/videos/10153898208226287/,2016-03-03T14:46:37+0000,video,UA x Project Rock,8741241286_10153898208226287,111,808,NONE,764,FALSE,FALSE,ranked,71,FALSE,,
RULE: Every set matters. #RuleYourself,https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10153897390886287/?type=3,https://www.facebook.com/Underarmour/posts/10153897390886287:0,2016-03-03T02:48:49+0000,photo,Timeline Photos,8741241286_10153897390886287,8,219,NONE,215,FALSE,FALSE,ranked,4,FALSE,,
RULE: No room for fear. #RuleYourself,https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10153894656031287/?type=3,https://www.facebook.com/Underarmour/posts/10153894656031287:0,2016-03-01T20:16:08+0000,photo,Timeline Photos,8741241286_10153894656031287,15,256,NONE,251,FALSE,FALSE,ranked,6,FALSE,,
The North American Soccer League (NASL) is ready to dominate the pitch with its new official match ball.,https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10153894100141287/?type=3,https://www.facebook.com/Underarmour/posts/10153894100141287:0,2016-03-01T15:00:06+0000,photo,Timeline Photos,8741241286_10153894100141287,8,223,NONE,218,FALSE,FALSE,ranked,2,FALSE,,
THIS is the new wearable. Track the running metrics that matter with the Gemini 2 RE shoes: http://undrarmr.co/1Rj0bxO,https://www.facebook.com/Underarmour/videos/10153894090856287/,https://www.facebook.com/Underarmour/videos/10153894090856287/,2016-03-01T14:56:12+0000,video,Gemini 2 Record-Equipped,8741241286_10153894090856287,215,654,NONE,605,FALSE,FALSE,ranked,48,FALSE,,
When missing out becomes a badge of honor. #RuleYourself #JOMO http://undrarmr.co/USAGYM,https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10153890866781287/?type=3,https://www.facebook.com/Underarmour/posts/10153890866781287:0,2016-02-29T01:07:42+0000,photo,Timeline Photos,8741241286_10153890866781287,9,342,NONE,335,FALSE,FALSE,ranked,2,FALSE,,
Current mood. USA Gymnastics #RuleYourself #IWILL http://undrarmr.co/USAGYM,https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10153890270651287/?type=3,https://www.facebook.com/Underarmour/posts/10153890270651287:0,2016-02-28T19:11:02+0000,photo,Timeline Photos,8741241286_10153890270651287,6,428,NONE,418,FALSE,FALSE,ranked,2,FALSE,,
Morning bender.  #RuleYourself #JOMO http://undrarmr.co/Memphis,https://www.facebook.com/Underarmour/videos/10153889591826287/,https://www.facebook.com/Underarmour/videos/10153889591826287/,2016-02-28T13:29:41+0000,video,,8741241286_10153889591826287,54,1109,NONE,1095,FALSE,FALSE,ranked,93,FALSE,,
Set records to break recordsâ€_only to break them again. #PlayForMore,https://www.facebook.com/Underarmour/videos/10153888839096287/,https://www.facebook.com/Underarmour/videos/10153888839096287/,2016-02-28T04:13:58+0000,video,,8741241286_10153888839096287,54,361,NONE,343,FALSE,FALSE,ranked,4,FALSE,,
A different type of peaking. #RuleYourself #JOMO http://undrarmr.co/USAGYM,https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10153888510146287/?type=3,https://www.facebook.com/Underarmour/posts/10153888510421287,2016-02-28T00:07:18+0000,photo,Photos from Under Armour's post,8741241286_10153888510421287,3,141,NONE,134,FALSE,FALSE,ranked,0,FALSE,,
Get lifted.  #RuleYourself  #JOMO http://undrarmr.co/Memphis,https://www.facebook.com/Underarmour/videos/10153887795796287/,https://www.facebook.com/Underarmour/videos/10153887795796287/,2016-02-27T17:33:12+0000,video,,8741241286_10153887795796287,13,214,NONE,211,FALSE,FALSE,ranked,2,FALSE,,
"Eating, sleeping, sweating, climbing. Repeat. USA Gymnastics  #RuleYourself #IWILL http://undrarmr.co/USAGYM",https://www.facebook.com/Underarmour/videos/10153887382291287/,https://www.facebook.com/Underarmour/videos/10153887382291287/,2016-02-27T14:33:03+0000,video,,8741241286_10153887382291287,28,365,NONE,344,FALSE,FALSE,ranked,6,FALSE,,
