message,link,permalink_url,created_time,type,name,id,share/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,,
,https://www.facebook.com/adidasoriginals/photos/a.10155128913458888.1073742087.9328458887/10155128913468888/?type=3,https://www.facebook.com/adidasoriginals/posts/10155128913468888:0,2016-12-14T10:32:59+0000,photo,Untitled Album,9328458887_10155128913468888,181,10266,NONE,9514,FALSE,FALSE,ranked,153,FALSE,"https://graph.facebook.com/v2.8/9328458887/posts?fields=message,link,permalink_url,created_time,type,name,id,comments.limit%280%29.summary%28true%29,shares,likes.limit%280%29.summary%28true%29,reactions.limit%280%29.summary%28true%29&limit=100&since=1481711579&access_token=1053491811442987|4bcc96fbefc5947e12b737decab00f44&__paging_token=enc_AdDMKEiZCfYT10UmKQbnvzZB7p7mtt8mQG3uAFDMGt2vAhcPFPHASZBw8roS6RCwShNR2kAMVoAYtBKBBRFPXbGGeNt&__previous=1","https://graph.facebook.com/v2.8/9328458887/posts?fields=message,link,permalink_url,created_time,type,name,id,comments.limit%280%29.summary%28true%29,shares,likes.limit%280%29.summary%28true%29,reactions.limit%280%29.summary%28true%29&limit=100&access_token=1053491811442987|4bcc96fbefc5947e12b737decab00f44&until=1324651442&__paging_token=enc_AdCwzwXJs9eGJuICHjzLRZCrWMCZBhiczTK9jjuxDpPpHUg5Tv1yO9JjxKlkSTxWYuOJuQ0dzFJa9At97mhd2PJC0v"
"Vested in progression, the iconic #STANSMITH evolves into a superior cold weather  sneaker. Available December 10th.",https://www.facebook.com/adidasoriginals/photos/a.112273373887.95260.9328458887/10155084079593888/?type=3,https://www.facebook.com/adidasoriginals/posts/10155084079593888:0,2016-12-04T16:00:06+0000,photo,Timeline Photos,9328458887_10155084079593888,68,1365,NONE,1264,FALSE,FALSE,ranked,90,FALSE,,
"An open-source talk series shaping and sharing conversation. Moderated by Spencer Bailey of Surface Magazine. Featuring Pusha T, Ben Jones, and Adwoa Aboah.",https://www.facebook.com/adidasoriginals/videos/10155073180428888/,https://www.facebook.com/adidasoriginals/videos/10155073180428888/,2016-12-01T23:54:18+0000,video,#TLKS Miami,9328458887_10155073180428888,239,4090,NONE,3265,FALSE,FALSE,ranked,11076,FALSE,,
"Introducing #TLKS, an open source talk series. Live from Miami, December 1st, moderated by Surface Magazine with Pusha T, Adwoa Aboah & Ben Jones. Stream live and get involved with us on Facebook Live.",https://www.facebook.com/adidasoriginals/photos/a.10150820560323888.417008.9328458887/10155063921248888/?type=3,https://www.facebook.com/adidasoriginals/posts/10155063921463888,2016-11-29T22:16:46+0000,photo,adidas Originals's cover photo,9328458887_10155063921248888,28,1209,NONE,1167,FALSE,FALSE,ranked,68,FALSE,,
The unrivaled combination of Primeknit and BOOST come together for the #KingPushEQT. Launching worldwide December 3: http://a.did.as/61878yzBt,https://www.facebook.com/adidasoriginals/photos/a.112273373887.95260.9328458887/10155057727388888/?type=3,https://www.facebook.com/adidasoriginals/posts/10155057727388888:0,2016-11-27T17:00:03+0000,photo,Timeline Photos,9328458887_10155057727388888,166,2587,NONE,2370,FALSE,FALSE,ranked,110,FALSE,,
Uncanny attention to simple details. 12.03.16 #KingPushEQT,https://www.facebook.com/adidasoriginals/photos/a.112273373887.95260.9328458887/10155026658438888/?type=3,https://www.facebook.com/adidasoriginals/posts/10155026658438888:0,2016-11-16T18:00:05+0000,photo,Timeline Photos,9328458887_10155026658438888,24,1094,NONE,1049,FALSE,FALSE,ranked,34,FALSE,,
"Scegli tra le maglie ‰ÛÏHome‰Û e ‰ÛÏAway‰Û di Palace.  O semplicemente sceglile entrambe, come biasimarti? In arrivo il 12 Novembre.",https://www.facebook.com/adidasoriginals/photos/a.112273373887.95260.9328458887/10155003655078888/?type=3,https://www.facebook.com/adidasoriginals/posts/10155003655078888:0,2016-11-09T15:29:03+0000,photo,Timeline Photos,9328458887_10155003655078888,51,2892,NONE,2790,FALSE,FALSE,ranked,63,FALSE,,
#TUBULAR Entrap with a monochromatically contrasting upper and sole. Launching November 10th.,https://www.facebook.com/adidasoriginals/photos/a.112273373887.95260.9328458887/10154989244678888/?type=3,https://www.facebook.com/adidasoriginals/posts/10154989244678888:0,2016-11-04T21:00:05+0000,photo,Timeline Photos,9328458887_10154989244678888,185,8734,NONE,8259,FALSE,FALSE,ranked,138,FALSE,,
"Blending #TUBULAR‰Ûªs aggressive design with a minimalist three-stripes touch, the Tubular Entrap‰Ûªs one-piece upper creates the perfect canvas for a design statement.",https://www.facebook.com/adidasoriginals/videos/10154988987343888/,https://www.facebook.com/adidasoriginals/videos/10154988987343888/,2016-11-04T19:00:34+0000,video,Post8_Tubular_Blackout_NOV_IG_S76547_Post8.mp4,9328458887_10154988987343888,198,2544,NONE,2331,FALSE,FALSE,ranked,105,FALSE,,
Las zapatillas Stan Smith llegan en su mejor versiÌ_n. Encuentra las tuyas en tiendas adidas Originals.,https://www.facebook.com/adidasoriginals/photos/a.112273373887.95260.9328458887/10154089516228888/?type=3,https://www.facebook.com/adidasoriginals/posts/10154089516228888:0,2015-12-29T00:28:02+0000,photo,Timeline Photos,9328458887_10154089516228888,142,7419,NONE,7376,FALSE,FALSE,ranked,101,FALSE,,
