message,link,permalink_url,created_time,type,name,id,share/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,,
"ACG means all conditions gear. And all conditions means all conditions.  The new #nikelab ACG collection, designed in collaboration with Errolson Hugh is now available at nike.com/nikelab",https://www.facebook.com/nike/videos/10154383909388445/,https://www.facebook.com/nike/videos/10154383909388445/,2016-12-02T17:01:15+0000,video,NikeLab ACG: Move. Adapt. Protect.,15087023444_10154383909388445,305,3769,NONE,3584,FALSE,FALSE,ranked,219,FALSE,"https://graph.facebook.com/v2.8/15087023444/posts?fields=message,link,permalink_url,created_time,type,name,id,comments.limit%280%29.summary%28true%29,shares,likes.limit%280%29.summary%28true%29,reactions.limit%280%29.summary%28true%29&limit=100&since=1480698075&access_token=1053491811442987|4bcc96fbefc5947e12b737decab00f44&__paging_token=enc_AdBZAweVRjkfcaFOlYwBh8ZAqIZAsknwta1xc15qXjQceGZAXIWAYgCpyfDIrKQNneUVXU8Wcol1ecoSx8xGK9IBKtr8&__previous=1","https://graph.facebook.com/v2.8/15087023444/posts?fields=message,link,permalink_url,created_time,type,name,id,comments.limit%280%29.summary%28true%29,shares,likes.limit%280%29.summary%28true%29,reactions.limit%280%29.summary%28true%29&limit=100&access_token=1053491811442987|4bcc96fbefc5947e12b737decab00f44&until=1374009974&__paging_token=enc_AdDXbJ0pOFrOGzOGUY2Mn0nhWZBFZC09KMffdAw6FYlcTZCFRJsAInpxDZAbO0gYYnwvZCFXFEtlogC07wTQo3HI3sSCM"
The future isnâ€™t tomorrow. Itâ€™s today.   Innovators Tinker Hatfield and Tiffany Beers give you a hands-on look at the auto-lacing Nike HyperAdapt 1.0. Discover more at nike.com/hyperadapt #hyperadapt,https://www.facebook.com/nike/videos/10154381480348445/,https://www.facebook.com/nike/videos/10154381480348445/,2016-12-01T22:36:13+0000,video,Nike HyperAdapt 1.0,15087023444_10154381480348445,4590,15950,NONE,14103,FALSE,FALSE,ranked,1166,FALSE,,
"Finding peace through pace, Jun Takahashi fuses form and function with the #NikeLab Gyakusou running collection.   Watch the full film and explore more at nike.com/nikelab",https://www.facebook.com/nike/videos/10154337232533445/,https://www.facebook.com/nike/videos/10154337232533445/,2016-11-16T01:42:35+0000,video,NikeLab Gyakusou: Running In Reverse,15087023444_10154337232533445,217,2434,NONE,2325,FALSE,FALSE,ranked,262,FALSE,,
Shaping the game. Dive into Chi-Cityâ€™s rich street ball heritage in the #AJXXXI Chicago Defy City film by Jordan.,https://www.facebook.com/nike/videos/10154309300218445/,https://www.facebook.com/nike/videos/10154309300218445/,2016-11-07T16:23:09+0000,video,#AJXXXI Chicago Defy City,15087023444_10154309300218445,587,2891,NONE,2777,FALSE,FALSE,ranked,233,FALSE,,
A new culture of FORCE ComplexCon. #af1,https://www.facebook.com/nike/videos/10154308938903445/,https://www.facebook.com/nike/videos/10154308938903445/,2016-11-07T04:53:55+0000,video,ComplexCon,15087023444_10154308938903445,363,3423,NONE,3232,FALSE,FALSE,ranked,138,FALSE,,
It's been a long time...but the Chicago Cubs made Someday today.,https://www.facebook.com/nike/videos/10154297177143445/,https://www.facebook.com/nike/videos/10154297177143445/,2016-11-03T05:00:43+0000,video,Chicago Cubs: Someday,15087023444_10154297177143445,16504,47551,NONE,42393,FALSE,FALSE,ranked,975,FALSE,,
Your circumstances don't determine your outcome. Come out of nowhere like LeBron James. #NikeBasketball #LeBronJames,https://www.facebook.com/nike/videos/10154272046723445/,https://www.facebook.com/nike/videos/10154272046723445/,2016-10-25T19:01:50+0000,video,Come out of nowhere.,15087023444_10154272046723445,50299,414667,NONE,396371,FALSE,FALSE,ranked,3846,FALSE,,
â__âœ–_Ÿè€ Brilliance collides in Barcelona. Jordan makes its Camp Nou debut tomorrow at the feet of Neymar Jr.. #Hypervenom,https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10154249722678445/?type=3,https://www.facebook.com/nike/posts/10154249722678445:0,2016-10-18T18:02:11+0000,photo,Timeline Photos,15087023444_10154249722678445,1444,12551,NONE,11746,FALSE,FALSE,ranked,330,FALSE,,
,https://www.facebook.com/jumpman23/videos/1293346720717890/,https://www.facebook.com/nike/posts/10154216095368445,2016-10-08T01:00:41+0000,video,Jordan,15087023444_10154216095368445,1,5265,NONE,4958,FALSE,FALSE,ranked,305,FALSE,,
From Compton's courts to the world stage. This is the story of the greatest athlete ever. #unlimitedgreatness Serena Williams,https://www.facebook.com/nike/videos/10154114365703445/,https://www.facebook.com/nike/videos/10154114365703445/,2016-09-01T16:46:35+0000,video,Unlimited Greatness Ft. Serena Williams,15087023444_10154114365703445,2853,16256,NONE,14994,FALSE,FALSE,ranked,858,FALSE,,
"â€œThe only person thatâ€™s going to have power over me, is me.â€ù  Scout Bassett doesnâ€™t just push limits. She sets them. Find out how: gonike.me/justdoit #justdoit",https://www.facebook.com/nike/videos/10154107088698445/,https://www.facebook.com/nike/videos/10154107088698445/,2016-08-30T16:00:49+0000,video,,15087023444_10154107088698445,3796,11070,NONE,10025,FALSE,FALSE,ranked,409,FALSE,,
